NAME,OWNER,ADDRESS,SUBURB,STATE,LATITUDE,LONGITUDE
BP Express Chisholm,BP,3 Benham Street,Chisholm,Australian Capital Territory,-35.413104,149.128148
BP Waramanga,BP,93 Nemarang Crescent,Waramanga,Australian Capital Territory,-35.3523949999999,149.060542
BP Express Phillip,BP,166 Melrose Drive,Phillip,Australian Capital Territory,-35.3510019999999,149.085289
BP Express Kingston,BP,77 Canberra Avenue,Griffith,Australian Capital Territory,-35.320031,149.138892
BP Braddon,BP,2 Lonsdale Street,Braddon,Australian Capital Territory,-35.2758049999999,149.132731
BP Bungendore,Independent Fuel Supplies,1 Gibraltar Street,Bungendore,New South Wales,-35.253901,149.438615
BP Jamison,BP,115 Redfern Street,Macquarie,Australian Capital Territory,-35.253075,149.073214
BP On The Run Christies Beach,Peregrine Corporation,39 Hunt Crescent,Christies Beach,South Australia,-35.139015,138.48435
BP On The Run Coastline,Peregrine Corporation,35 Gulfview Road,Christies Beach,South Australia,-35.1306979999999,138.474931
BP Connect Southern,BP,131 Main South Road,Morphett Vale,South Australia,-35.124331,138.522974
BP Oval,BP,101 Adelaide Road,Murray Bridge,South Australia,-35.123577,139.264207
Eastside ,7-Eleven Pty Ltd,61 Princes Highway,Murray Bridge East,South Australia,-35.112701,139.295724
Edithburgh Motors,BP,55-57 Blanche Street,Edithburgh,South Australia,-35.087779,137.746097
BP Express O'Halloran Hill,BP,131 Main South Road,O'Halloran Hill,South Australia,-35.0710349999999,138.554622
BP On The Run Darlington,Peregrine Corporation,1487-1489 Main South Road,Darlington,South Australia,-35.0253,138.561003
BP On The Run Brighton,Peregrine Corporation,480-484 Brighton Road,Brighton,South Australia,-35.019954,138.523505
Yorketown Tyres Pty Ltd,Independent Fuel Supplies,10 Edithburgh Road,Yorketown,South Australia,-35.0197889999999,137.605999
BP Aldgate,BP,345 Mount Barker Road,Aldgate,South Australia,-35.010147,138.748508
BP Connect Mitchell Park,BP,843 Marion Road,Mitchell Park,South Australia,-35.002629,138.558058
BP On The Run Pasadena,Peregrine Corporation,14 Fiveash Drive,Pasadena,South Australia,-35.0009509999999,138.591046
BP Connect Belair,BP,1 Main Road,Belair,South Australia,-34.998263,138.62327
BP On The Run St Marys,Peregrine Corporation,1181 South Road,St Marys,South Australia,-34.997601,138.575642
BP Crafers,BP,3 Main Street,Crafers,South Australia,-34.997155,138.703924
BP Ackland Gardens,BP,62 Daws Road,Edwardstown,South Australia,-34.9927749999999,138.56976
M & G Automotives,Independent Fuel Supplies,60 Main Street,Warooka,South Australia,-34.9897339999999,137.398726
BP Connect Glenelg,BP,66 Brighton Road,Glenelg East,South Australia,-34.9855019999999,138.520944
BP Connect Westbourne Park,BP,425-427 Goodwood Road,Westbourne Park,South Australia,-34.9741529999999,138.591743
BP On The Run Clarence Park,Peregrine Corporation,340-346 Goodwood Road,Clarence Park,South Australia,-34.966109,138.590408
BP On The Run Plympton,Peregrine Corporation,279 Anzac Highway,Plympton,South Australia,-34.963315,138.555153
BP Connect Glenunga,BP,303 Glen Osmond Road,Glenunga,South Australia,-34.952708,138.635606
BP On The Run Kurrulta Park,Peregrine Corporation,490 South Road,Kurralta Park,South Australia,-34.9470929999999,138.571109
Point Turton General Store,BP,72 Bayview Road,Point Turton,South Australia,-34.94677,137.353638
